Wavenumber	Intensity
838.86	97
839.602	98.5
840.343	94.5
841.083	101
841.825	100
842.566	98.5
843.307	96
844.049	89
844.788	100
845.53	101
846.271	94.5
847.012	98
847.752	106.5
848.493	97
849.234	95
849.974	97.5
850.714	97.5
851.455	98.5
852.195	96
852.935	92.5
853.675	92
854.416	99
855.155	99.5
855.896	99.5
856.635	101.5
857.375	108.5
858.115	93.5
858.854	95
859.594	95.5
860.333	97
861.073	94
861.812	95.5
862.552	90
863.291	92
864.031	99
864.769	100
865.509	90.5
866.247	97.5
866.987	98
867.725	96
868.465	103.5
869.203	95.5
869.941	93.5
870.681	91
871.419	95
872.158	97
872.896	98.5
873.634	101
874.373	96
875.111	92
875.849	93.5
876.588	90
877.325	97
878.063	93.5
878.802	103.5
879.539	95
880.277	97
881.014	91.5
881.753	94
882.49	87
883.227	99
883.964	96
884.703	101
885.44	96.5
886.177	97
886.914	96
